"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 28, 2020","525.25","526.25","526.38","512.62","-","-0.19%"
"Feb 27, 2020","526.25","535.50","535.50","526.25","-","-1.73%"
"Feb 26, 2020","535.50","538.75","539.88","533.12","-","-0.60%"
"Feb 25, 2020","538.75","536.25","539.62","528.62","-","0.47%"
"Feb 24, 2020","536.25","550.12","550.12","532.88","-","-3.03%"
"Feb 23, 2020","553.00","553.00","553.00","553.00","-","0.23%"
"Feb 21, 2020","551.75","560.00","568.88","550.62","-","-1.39%"
"Feb 20, 2020","559.50","565.50","567.38","558.12","-","-1.06%"
"Feb 19, 2020","565.50","567.00","567.00","553.12","-","-0.26%"
"Feb 18, 2020","567.00","549.88","570.38","549.25","-","3.96%"
"Feb 16, 2020","545.38","544.38","545.38","543.88","-","0.14%"
"Feb 14, 2020","544.62","544.75","549.50","542.12","-","-0.02%"
"Feb 13, 2020","544.75","547.50","550.38","540.88","-","-0.50%"
"Feb 12, 2020","547.50","540.75","548.88","538.38","-","1.15%"
"Feb 11, 2020","541.25","551.00","551.38","539.12","-","-1.77%"
"Feb 10, 2020","551.00","558.12","560.62","551.00","-","-1.45%"
"Feb 07, 2020","559.12","556.25","562.88","553.38","-","0.52%"
"Feb 06, 2020","556.25","561.25","565.50","555.88","-","-0.89%"
"Feb 05, 2020","561.25","557.50","563.62","555.62","-","0.67%"
"Feb 04, 2020","557.50","553.75","564.12","553.62","-","0.68%"
"Feb 03, 2020","553.75","551.12","557.88","546.50","-","0.07%"
"Jan 31, 2020","553.38","560.50","565.88","552.88","-","-1.27%"
"Jan 30, 2020","560.50","561.75","562.38","551.00","-","-0.22%"
"Jan 29, 2020","561.75","569.00","573.12","561.00","-","-1.27%"
"Jan 28, 2020","569.00","573.25","576.62","565.62","-","-0.74%"
"Jan 27, 2020","573.25","567.88","573.25","559.62","-","-0.02%"
"Jan 26, 2020","573.38","573.38","573.38","573.38","-","0.29%"
"Jan 24, 2020","571.75","579.25","581.62","569.62","-","-1.29%"
"Jan 23, 2020","579.25","577.25","582.88","575.38","-","0.35%"
"Jan 22, 2020","577.25","582.50","592.38","574.38","-","-0.90%"
"Jan 21, 2020","582.50","572.38","582.62","567.00","-","2.24%"
"Jan 20, 2020","569.75","569.50","569.75","569.50","-","-0.18%"
"Jan 19, 2020","570.75","571.12","571.12","570.75","-","-0.02%"
"Jan 17, 2020","570.88","565.50","572.62","564.12","-","0.95%"
"Jan 16, 2020","565.50","573.75","573.75","560.12","-","-1.44%"
"Jan 15, 2020","573.75","568.50","578.62","568.25","-","0.92%"
"Jan 14, 2020","568.50","560.75","572.88","559.12","-","1.38%"
"Jan 13, 2020","560.75","565.25","565.88","558.62","-","-0.42%"
"Jan 12, 2020","563.12","563.12","563.12","563.12","-","-0.20%"
"Jan 10, 2020","564.25","562.75","568.12","556.00","-","0.27%"
"Jan 09, 2020","562.75","553.75","563.88","552.88","-","1.63%"
"Jan 08, 2020","553.75","550.75","555.62","545.38","-","0.54%"
"Jan 07, 2020","550.75","551.00","551.00","545.62","-","-0.05%"
"Jan 06, 2020","551.00","552.25","555.12","546.88","-","-0.74%"
"Jan 03, 2020","555.12","560.62","561.88","551.62","-","-0.78%"
"Jan 02, 2020","559.50","559.38","567.38","558.38","-","0.00%"
"Jan 01, 2020","559.50","559.50","559.50","559.50","-","0.02%"